Iteration_step	age	teff_primary	feh	Pdisk	logQ	
127	4.9767789362942345	5936.731388352764	-0.14201817303159758	4.4794879199468465	9.498241237136325	13.462080148442348	371.13969588279724
128	3.4728865264866267	6036.671856613464	-0.019654168564766684	4.242318059464073	9.009420819718969	7.918788716417262	265.9957585334778
129	7.292333100046504	6123.183640626211	0.053159987577061765	4.361205349560311	9.21424318003179	nan	265.9957585334778
131	2.9586785423692756	5924.263571905109	0.07503178888534498	4.480291680817865	9.300583139359762	10.299365183474581	226.85624289512634
133	1.1135363021546003	6043.862632546423	-0.14698541225433137	4.585964287432952	9.127561542961109	8.701845586795194	87.3208065032959
134	2.6984890865390314	6115.037209163175	-0.07909534966186473	4.461618308861945	9.120341240308797	8.879293962530694	217.71145820617676
135	0.4619312891216403	6142.596728355742	-0.17535235728977458	4.604494229111035	9.0115081198288	4.055255094476898	56.35664701461792
136	2.081763211066721	6336.4532945865385	-0.04838955298206045	4.413872422118316	9.156401926480942	7.269707827789224	172.09461283683777
137	3.9780832615935466	6022.955387008076	-0.1709594173391783	4.531100524293835	9.271843526781204	11.124543716782679	299.3039848804474
138	2.82575369535414	6224.118006521166	-0.11703670204596178	4.633089469690456	9.349012288208122	9.923030408371018	217.7776951789856
140	3.3070565354617316	6109.231675982389	0.01663728706078195	4.623932551610147	8.798444817362848	6.095201033314333	252.95787119865417
141	1.6982064488309074	6048.147974846572	0.1354322057708883	4.666711899265117	8.946149161870881	7.022386858588851	142.27215361595154
142	4.792736823250712	5894.943335871551	0.05090686322912405	4.597942841037781	9.126519255914149	8.6678541952513	346.7874846458435
143	3.9577300201871717	6086.096384208695	0.12266721210850164	4.703789527586662	9.019538680585619	nan	346.7874846458435
144	3.4592683675801004	5947.185939707248	0.19496401189766382	4.605053975970373	9.037595185624912	7.175913168058688	258.9237730503082
145	3.894137011433588	6174.639713679238	0.17006865335938592	4.668514366733316	9.187847558343078	nan	258.9237730503082
146	3.334725803564967	6036.446635265841	0.0684665684695278	4.563122477618644	8.82911686082946	6.358981887782487	261.94301438331604
147	1.572533992218498	6200.146335603517	-0.027723858678197627	4.701010847860406	8.922093427123153	6.953391832956908	133.68022203445435
148	4.683929851375862	6011.064503870471	0.11781765760227189	4.5441492282034615	9.107414330320372	nan	133.68022203445435
149	6.840563884718675	5874.274340668824	-0.2046168464019758	4.537728832974225	9.344977881349008	12.39935906338978	482.1737005710602
150	-1.9418970949243897	5949.333463645	0.1714895036627172	4.666816583424115	9.063690298441786	12.39935906338978	482.1737005710602
151	3.468427303860766	6005.966156912411	0.11386294313058995	4.5136635188024155	8.886014280105337	6.496372839451947	261.74164962768555
152	4.695546166868949	6045.181888293601	0.2991453120853851	4.6509499302582435	8.571014027661384	nan	261.74164962768555
154	-0.11799867568569766	6022.553773233144	-0.0667406225144051	4.540598506572251	8.892345362089516	8.114629029258513	145.95624685287476
156	0.41829495058826804	5664.303404942116	0.08655943676362385	4.490523044617234	9.376148256073286	5.0547521031068765	44.5868399143219
157	2.9872567840796034	5818.791227865271	-0.04310626465031344	4.273111513075471	9.010540546389674	9.76420400943656	223.3716721534729
158	3.7174887191745833	5959.223726936908	-0.06607415717856928	4.516845147586001	8.761343833545334	7.185082326905106	279.02538657188416
160	10.954504651225598	5870.401252758276	-0.20992747273005705	4.3794907248297	8.920025677804754	nan	539.7925779819489
161	10.885243991445279	5817.072351950584	-0.221087827710934	4.598599289036296	8.817030833181914	7.224989900408636	852.3420329093933
162	6.494998702280859	5899.153052531221	0.044819667079325456	4.358050866502571	9.019237204078804	7.033415516527651	481.34088373184204
164	4.700474317575744	5847.12568110345	0.0814163550474676	4.450317010499382	9.176386242469805	9.229258544934929	378.1013255119324
165	4.69827361614104	6075.923371108123	-0.06639516299952665	4.580436704696357	8.64042973873682	5.500915767204988	425.47004771232605
166	8.60770121401429	5870.334260586128	0.012540949129172349	4.263504286582762	8.904296361999638	nan	425.47004771232605
167	3.327468452094075	6021.526492734901	0.00708774898911281	4.497177231257962	9.127933788045706	8.674818401424245	279.00537943840027
