0	KIC	teff	teff_e	feh	feh_e	Porb	Porb_e	e	e_e	logg	logg_e	Pspin	Pspin_e	q	mass	age	feh
82	8411947	5284.0	185.0	-0.18	0.3	1.798	0.0000025	0.03	0.01	4.518	0.081	1.767	0.040000000000000036	0.819	0.8414798452519419	6.08355924849021	-0.10292902072156951
83	8543278	5085.0	136.0	-0.58	0.3	7.549	0.0000195	0.018	0.01	4.679	0.028	8.603	0.5050000000000008	0.6828	0.666011782150372	6.014788039112349	-0.6927320430865435
84	8559863	5315.0	159.0	-0.44	0.3	22.47	0.0000920	0.035	0.01	4.636	0.03	38.881	4.744	0.9188	0.7135033131732759	5.7743893376211854	-0.5640382994066748
85	8848271	5874.0	158.0	-0.12	0.3	9.992	0.0000291	0.283	0.001	4.338	0.153	13.575	0.8020000000000014	0.5757	0.9850069777635193	6.025987613620758	-0.12042660339857186
86	8938628	5815.0	157.0	-0.62	0.3	6.862	0.0000170	0.003	0.1	4.349	0.22	19.304	2.689	0.8182	0.8341918470848068	6.50251309665888	-0.5124254773934244
88	8984706	5895.0	175.0	-0.32	0.3	10.135	0.0000300	0.014	0.01	4.103	0.344	12.482	1.2960000000000012	0.965	0.9390077245290988	6.54970566905419	-0.2532289869289897
92	9411943	5880.0	158.0	-0.4	0.3	3.844	0.0000074	0.048	0.01	4.296	0.225	3.828	0.050000000000000266	0.6987	0.9105790482433724	6.776420157197241	-0.3426342544567451
93	9412462	5557.0	166.0	-0.12	0.3	10.187	0.0000300	0.043	0.01	4.448	0.108	9.801	0.4529999999999994	0.9023	0.9334253682189363	5.580248669601537	-0.054067695776431085
94	9468296	4961.0	151.0	-0.14	0.3	5.749	0.0000132	0.061	0.01	4.545	0.078	5.837	0.19899999999999984	0.8159	0.802462794050237	4.694880649876551	-0.04347877946804426
95	9468384	5831.0	163.0	-0.06	0.25	11.083	0.0000723	0.067	0.01	4.503	0.052	12.991	0.37700000000000067	0.5594	0.9593505501443018	2.8437437056283117	-0.1343048716751849
96	9509207	5864.0	176.0	-0.06	0.3	14.2	0.0000479	0.0241	0.01	4.139	0.299	23.85	0.6329999999999991	0.975	0.9909114025933997	6.648065754068082	-0.0721854801531252
99	9532123	5654.0	178.0	-0.38	0.3	8.215	0.0001952	0.207	0.001	4.59	0.036	7.35	0.3730000000000002	0.884	0.80339732200932	4.584403856971505	-0.49911925107905963
100	9532421	4897.0	169.0	0.08	0.25	4.309	0.0000283	0.057	0.01	4.526	0.08	4.407	0.03599999999999959	0.5339	0.8432019159446722	7.197705061579838	0.14712983974140006
106	9896435	4848.0	173.0	0.06	0.25	18.077	0.0002024	0.0086	0.1	4.55	0.065	25.894	5.4140000000000015	0.5516	0.8285159441505281	6.085326138418849	0.11932299462942686
