 3439031	   5.952	       	      	
 3439180	   0.325	       	      	
 3440230	   2.881	       	      	
 3441784	  52.569	       	      	
 3442054	 117.681	  3.576	      	
 3443790	   1.666	  5.211	 4.811	 4.969
 3448245	   0.513	       	      	
 3449540	   3.212	  3.188	 3.234	 3.244
 3454864	   0.294	       	      	
 3458919	   0.892	  0.899	 0.889	 0.896
 3459199	   3.141	 11.300	11.212	11.629
 3530668	   1.946	  1.962	 1.937	 1.946
 3534118	 178.414	 47.324	      	
 3542573	   6.943	  7.233	 7.100	 7.463
 3543270	   4.177	  4.107	 4.077	 4.093
 3544694	   3.846	  4.046	      	
 3547091	   3.306	  3.290	 3.203	 3.232
 3547111	   1.208	       	      	
 3547315	   1.285	  1.287	 1.281	 1.284
 3549994	   0.347	       	      	
 3556229	   0.797	       	      	
 3557421	   0.394	       	      	
 3558822	   1.353	       	      	
 3558981	   2.988	  3.453	 3.403	 3.413
 3560212	   0.346	       	      	
 3633901	   0.807	       	      	
 3644542	 119.680	117.187	      	
 3654950	   8.135	  8.827	 8.832	 9.180
 3655326	  15.067	 12.791	      	
 3656322	   3.664	  3.617	      	
 3659940	   0.896	  0.899	 0.888	 0.890
 3662635	   0.939	  0.940	 0.929	 0.935
 3730067	   0.294	       	      	
 3732732	   0.396	       	      	
 3734868	  10.328	 10.299	 9.774	10.443
 3735597	   1.966	       	      	
 3735629	   9.328	 65.735	      	
 3743834	   0.274	       	      	
 3745184	   0.304	       	      	
 3749508	   1.066	  1.063	 1.062	 1.066
 3757588	  24.090	       	      	
 3757590	 135.586	135.843	      	
 3757778	  36.514	 36.535	      	
 3765708	   0.431	       	      	
 3765771	   5.568	  9.481	      	
 3830820	  15.583	 38.640	      	
 3832382	   0.273	       	      	
 3833859	   0.432	       	      	
 3834322	   0.997	 27.218	      	
 3834364	   2.908	  2.922	 2.898	 2.923
 3836439	   1.540	       	      	
 3836522	   1.540	  1.451	      	
 3838496	   5.980	  5.803	 5.680	 5.741
 3848042	   0.411	       	      	
 3848919	   1.047	  1.042	 1.040	 1.043
 3848972	   0.741	 21.578	20.621	24.313
 3849155	   1.168	 39.416	      	
 3851193	   1.341	       	      	
 3851949	  54.771	 54.701	      	
 3852655	  11.629	 21.782	16.740	17.049
 3853259	   0.277	       	      	
 3853673	   0.644	 19.024	      	
 3858879	  25.952	 16.388	      	
 3858884	  25.952	       	      	
 3858949	  25.951	 36.801	      	
 3861595	   3.849	  5.660	      	
 3862246	   4.702	  5.333	      	
 3865298	   9.531	  8.991	      	
 3867593	  73.332	       	      	
 3869326	   8.586	  1.900	      	
 3935319	   0.353	       	      	
 3936357	   0.369	       	      	
 3938073	  31.024	 61.996	      	
 3953106	  13.174	 14.855	      	
 3953981	   0.492	       	      	
 3954227	   0.594	  0.593	      	
 3954798	   0.918	       	      	
 3955867	  33.660	 33.225	      	
 3956545	   0.330	       	      	
 3957477	   0.979	  0.981	 0.969	 0.972
 3964545	   3.012	  2.983	      	
 3965242	   0.997	  1.001	 0.992	 0.994
 3966491	   1.352	       	      	
 3966912	  55.664	  5.027	      	
 3969362	   0.411	       	      	
 3970117	 110.295	110.586	      	
 3970233	   8.255	  6.048	      	
 3971315	   9.892	 13.997	      	
 3973002	   3.984	  3.964	 3.932	 4.088
 3973504	   4.319	  4.434	 4.263	 4.295
 3973549	   1.390	  9.829	      	
 4035675	   2.874	  2.861	      	
 4036687	   0.300	       	      	
 4037163	   0.635	  0.633	      	
 4037428	   4.265	  4.271	 4.189	 4.317
 4042026	  34.820	 35.657	      	
